Number,Measure,Preamble,Question,Options,ReverseCoded,OriginalNumber,id
111,AES,"For each statement, select the answer that best describes the subject's thoughts, feelings, and activity in the past 4 weeks.",I get things done during the day,"Not at all,Slightly,Somewhat,A lot",1,2,apathy.2
112,AES,"For each statement, select the answer that best describes the subject's thoughts, feelings, and activity in the past 4 weeks.",I approach life with intensity,"Not at all,Slightly,Somewhat,A lot",1,7,apathy.7
113,AES,"For each statement, select the answer that best describes the subject's thoughts, feelings, and activity in the past 4 weeks.",I have initiative,"Not at all,Slightly,Somewhat,A lot",1,17,apathy.17
114,AES,"For each statement, select the answer that best describes the subject's thoughts, feelings, and activity in the past 4 weeks.",I have motivation,"Not at all,Slightly,Somewhat,A lot",1,18,apathy.18
115,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I feel pleasant,"Almost never,Sometimes,Often,Almost always",1,1,anxiety.1
116,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I feel satisfied with myself,"Almost never,Sometimes,Often,Almost always",1,3,anxiety.3
117,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I feel like a failure,"Almost never,Sometimes,Often,Almost always",0,5,anxiety.5
118,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I feel difficulties are piling up so I cannot overcome them,"Almost never,Sometimes,Often,Almost always",0,8,anxiety.8
119,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I worry too much over something that really does not matter,"Almost never,Sometimes,Often,Almost always",0,9,anxiety.9
120,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I am happy,"Almost never,Sometimes,Often,Almost always",1,10,anxiety.10
121,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I lack self-confidence,"Almost never,Sometimes,Often,Almost always",0,12,anxiety.12
122,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I feel secure,"Almost never,Sometimes,Often,Almost always",1,13,anxiety.13
123,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I am content,"Almost never,Sometimes,Often,Almost always",1,16,anxiety.16
124,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I am a steady person,"Almost never,Sometimes,Often,Almost always",1,19,anxiety.19
124,STAI,A number of statements which people have used to describe themselves are given below.  Read each statement and select the appropriate statement to indicate how you <b>generally</b> feel.  There are no right or wrong answers.  Do not spend too much time on any one statement but give the answers which describe how you <b>generally</b> feel.,I get in a state of tension or turmoil as I think over my recent concerns and interests.,"Almost never,Sometimes,Often,Almost always",0,20,anxiety.20
